Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match URLs
Botswana,Uganda,Uganda,7 wickets,Nairobi (Gym),"Jun 17, 2023",T20I # 2102,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/botswana-vs-uganda-13th-match-1379575/full-scorecard
Kenya,Botswana,Botswana,30 runs,Nairobi (Gym),"Jun 15, 2023",T20I # 2101,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/kenya-vs-botswana-12th-match-1379590/full-scorecard
Rwanda,Uganda,Uganda,7 wickets,Nairobi (Gym),"Jun 15, 2023",T20I # 2100,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/rwanda-vs-uganda-11th-match-1379584/full-scorecard
Kenya,Rwanda,Kenya,7 wickets,Nairobi (Gym),"Jun 14, 2023",T20I # 2099,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/kenya-vs-rwanda-10th-match-1379582/full-scorecard
Botswana,Uganda,Uganda,64 runs,Nairobi (Gym),"Jun 14, 2023",T20I # 2098,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/botswana-vs-uganda-9th-match-1379583/full-scorecard
Kenya,Uganda,Uganda,47 runs,Nairobi (Gym),"Jun 13, 2023",T20I # 2097,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/kenya-vs-uganda-8th-match-1379589/full-scorecard
Botswana,Rwanda,Rwanda,27 runs,Nairobi (Gym),"Jun 13, 2023",T20I # 2096,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/botswana-vs-rwanda-7th-match-1379586/full-scorecard
Czech Rep.,Hungary,Czech Rep.,3 wickets,Vinor,"Jun 11, 2023",T20I # 2095,https://www.espncricinfo.com/series/hungary-tour-of-czech-republic-2023-1380579/czech-republic-vs-hungary-3rd-match-1380587/full-scorecard
Rwanda,Uganda,Uganda,8 wickets,Nairobi (Gym),"Jun 11, 2023",T20I # 2094,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/rwanda-vs-uganda-6th-match-1379578/full-scorecard
Germany,Belgium,Germany,8 wickets,Krefeld,"Jun 11, 2023",T20I # 2093,https://www.espncricinfo.com/series/belgium-in-germany-2023-1380577/germany-vs-belgium-4th-t20i-1380584/full-scorecard
Czech Rep.,Hungary,tied,-,Vinor,"Jun 11, 2023",T20I # 2092,https://www.espncricinfo.com/series/hungary-tour-of-czech-republic-2023-1380579/czech-republic-vs-hungary-2nd-match-1380586/full-scorecard
Kenya,Botswana,Kenya,8 wickets,Nairobi (Gym),"Jun 11, 2023",T20I # 2091,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/kenya-vs-botswana-5th-match-1379580/full-scorecard
Germany,Belgium,Germany,4 wickets,Krefeld,"Jun 10, 2023",T20I # 2090,https://www.espncricinfo.com/series/belgium-in-germany-2023-1380577/germany-vs-belgium-3rd-t20i-1380583/full-scorecard
Czech Rep.,Hungary,Czech Rep.,9 runs,Vinor,"Jun 10, 2023",T20I # 2089,https://www.espncricinfo.com/series/hungary-tour-of-czech-republic-2023-1380579/czech-republic-vs-hungary-1st-match-1380585/full-scorecard
Kenya,Uganda,Kenya,88 runs,Nairobi (Gym),"Jun 10, 2023",T20I # 2088,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/kenya-vs-uganda-4th-match-1379577/full-scorecard
Germany,Belgium,Germany,5 wickets,Krefeld,"Jun 10, 2023",T20I # 2087,https://www.espncricinfo.com/series/belgium-in-germany-2023-1380577/germany-vs-belgium-2nd-t20i-1380582/full-scorecard
Botswana,Rwanda,Botswana,33 runs,Nairobi (Gym),"Jun 10, 2023",T20I # 2086,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/botswana-vs-rwanda-3rd-match-1379574/full-scorecard
Germany,Belgium,Germany,6 runs,Krefeld,"Jun 9, 2023",T20I # 2085,https://www.espncricinfo.com/series/belgium-in-germany-2023-1380577/germany-vs-belgium-1st-t20i-1380581/full-scorecard
Botswana,Uganda,Uganda,6 wickets,Nairobi (Gym),"Jun 9, 2023",T20I # 2084,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/botswana-vs-uganda-2nd-match-1379573/full-scorecard
Kenya,Rwanda,Kenya,3 wickets,Nairobi (Gym),"Jun 9, 2023",T20I # 2083,https://www.espncricinfo.com/series/africa-continental-cup-2023-1379384/kenya-vs-rwanda-1st-match-1379572/full-scorecard
